Samples,SITE,PLANT ID,Hyphae,Aseptate,Septate,Arbuscules,Vesicles,FOV,Burn Status,Urbanization,Nitrate
10,LCM,Lactuca_canadensis,5,4,1,1,0,100,High,Natural,0.436503141
11,LCM,Kalmia_latifolia,51,21,30,1,0,100,High,Natural,0.436503141
13,GCL,Smilax_glauca,47,23,24,12,1,100,Medium,Urban,0.121729135
14,GCL,Lactuca_canadensis,7,4,3,5,1,100,Medium,Urban,0.121729135
17,GCL,Lysimachia_quadrifolia,46,15,31,43,3,100,Medium,Urban,0.121729135
22,FCM,Panicum_miliaceum,12,8,4,6,1,100,High,Natural,0.725507584
23,FCM,Lactuca_canadensis,4,4,0,22,3,100,High,Natural,0.725507584
25,FCM,Smilax_glauca,30,28,2,23,2,100,High,Natural,0.725507584
27,SCM,Lactuca_canadensis,34,31,3,33,2,100,High,Natural,0.376217218
29,SCM,Panicum_miliaceum,17,13,4,2,1,100,High,Natural,0.376217218
30,TCL,Smilax_glauca,30,21,9,16,0,100,High,Urban,0.524753551
31,TCL,Lysimachia_quadrifolia,62,20,42,6,1,100,High,Urban,0.524753551
32,TCL,Phytolacca_americana,86,70,16,17,2,100,High,Urban,0.524753551
33,TCL,Parthenocissus_quinquefolia,37,30,7,4,0,100,High,Urban,0.524753551
38,NMT,Phytolacca_americana,50,41,9,14,2,100,High,Urban,0.561072227
39,NMT,Amphicarpaea_bracteata,75,59,16,7,0,100,High,Urban,0.561072227
40,NMT,Lactuca_canadensis,38,38,0,14,0,100,High,Urban,0.561072227
41,NMT,Parthenocissus_quinquefolia,38,31,7,18,0,100,High,Urban,0.561072227
43,WIN,Acer_saccharum,79,17,62,13,0,100,Medium,Urban,1.468667799
44,WIN,Viola_palmata,31,30,1,20,0,100,Medium,Urban,1.468667799
45,WIN,Parthenocissus_quinquefolia,69,58,11,9,0,100,Medium,Urban,1.468667799
46,WIN,Amphicarpaea_bracteata,61,52,9,5,0,100,Medium,Urban,1.468667799
48,SKI,Parthenocissus_quinquefolia,57,27,30,11,0,100,None,Urban,1.422064875
49,SKI,Amphicarpaea_bracteata,47,47,0,1,0,100,None,Urban,1.422064875
55,RS441,Smilax_glauca,73,50,23,19,1,100,None,Natural,1.398508604
57,RS441,Parthenocissus_quinquefolia,78,43,35,12,1,100,None,Natural,1.398508604
59,LGB,Lysimachia_quadrifolia,65,21,44,25,1,100,Medium,Natural,0.212702738
60,LGB,Lactuca_canadensis,37,32,5,35,1,100,Medium,Natural,0.212702738
61,LGB,Panicum_miliaceum,29,4,25,4,0,100,Medium,Natural,0.212702738
62,LGB,Smilax_glauca,18,6,12,26,0,100,Medium,Natural,0.212702738
63,LGB,Kalmia_latifolia,37,8,29,12,0,100,Medium,Natural,0.212702738
69,DUD,Phytolacca_americana,71,52,19,16,4,100,High,Urban,1.15574813
70,DUD,Panicum_miliaceum,8,1,7,0,0,100,High,Urban,1.15574813
71,DUD,Lactuca_canadensis,57,31,26,25,1,100,High,Urban,1.15574813
72,DUD,Smilax_glauca,24,6,18,10,0,100,High,Urban,1.15574813
73,CANEY,Acer_saccharum,90,57,33,1,0,100,None,Urban,2.019738716
74,CANEY,Smilax_glauca,63,22,41,14,0,100,None,Urban,2.019738716
75,CANEY,Viola_palmata,46,36,10,6,0,100,None,Urban,2.019738716
76,CANEY,Phytolacca_americana,95,80,15,1,0,100,None,Urban,2.019738716
77,CANEY,Panicum_miliaceum,27,15,12,2,0,100,None,Urban,2.019738716
78,LOVE,Parthenocissus_quinquefolia,51,42,9,8,0,100,None,Urban,3.039598653
79,LOVE,Amphicarpaea_bracteata,43,34,9,1,0,100,None,Urban,3.039598653
80,LOVE,Lactuca_canadensis,24,21,3,7,0,100,None,Urban,3.039598653
81,LOVE,Viola_palmata,31,23,8,19,0,100,None,Urban,3.039598653
82,NEON,Phytolacca_americana,84,50,34,26,0,100,None,Urban,0.926105819
83,NEON,Viola_palmata,36,15,21,10,5,100,None,Urban,0.926105819
84,NEON,Smilax_glauca,37,17,20,22,0,100,None,Urban,0.926105819
85,NEON,Amphicarpaea_bracteata,91,69,22,11,0,100,None,Urban,0.926105819
86,NEON,Parthenocissus_quinquefolia,36,22,14,0,0,100,None,Urban,0.926105819
